region,name,type,address,city,postal_code,phone,email,alt_email,website,confidence,source,email_source
Reste du Québec,Centre Islamique de l'Outaouais (CIO) - Mosquée de Gatineau,mosque,4 rue Lois,Gatineau (Hull),J8Y 3R1,,info@cio-oic.ca,,https://cio-oic.ca/,high,https://cio-oic.ca/locations/la-mosquee-de-gatineau/,https://muslimlink.ca/directory/ottawa/muslim-services/masjids-musallahs/208-outaouais-islamic-centre-masjid-gatineau?city=ottawa
Reste du Québec,Centre Culturel Islamique de Granby (Mosquée Granby),islamic_centre,317-1 rue Racine,Granby,J2G 3B6,450-994-3091,info@mosqueegranby.com,,https://mosqueegranby.com/,high,"https://islammessage.org/en/center/2074/Centre-Culturel-Islamique-de-Granby--317-Rue-Racine,-Granby,-QC-J2G-3B6",https://mosqueegranby.com/
Reste du Québec,Mosquée La Pocatière - Centre Culturel Islamique de La Pocatière (CCIP),islamic_centre,502-A 4e Avenue Painchaud,La Pocatière,G0R 1Z0,,,,https://ccilapoc.ca/,high,https://ccilapoc.ca/,
Reste du Québec,Mosquée de Lévis - Centre culturel AMMGL (Association des musulmanes et musulmans du Grand Lévis),islamic_centre,39 rue Guénette,Lévis,G6V 5M9,418-803-0212,,,https://centreculturelammgl.ca/,high,https://www.lesoleil.com/actualites/actualites-locales/la-capitale/2025/11/30/un-reve-devenu-realite-la-mosquee-de-levis-a-trouve-son-nouveau-toit-YC2SEX7YIJAK5PLFHEPLGTA3OQ/,
Reste du Québec,Mosquée Al-Sahaba (ACIM Magog),mosque,33 rue Saint-Patrice Est,Magog,J1X 1T5,,,,,high,https://www.omradiscount.fr/mosquees/canada/magog/acim-magog-qc-j1x-1t5-canada,
Reste du Québec,Mosquée Al-Rahma,mosque,"363 rue de la Couronne, unité 301-302",Québec,G1K 6E9,418-261-6652,,,,high,"https://islammessage.org/en/center/2104/Mosquee-Al-Rahma--363-Rue-de-la-Couronne,-Unit-301-302,-Quebec-City,-QC-G1K-6E9",
Reste du Québec,Mosquée de la Capitale,mosque,270 rue Marie-de-l'Incarnation,Québec,G1N 3G6,418-914-2025,info@mosqueedelacapitale.com,,,high,https://www.yellowpages.ca/bus/Quebec/Quebec/Mosquee-De-La-Capitale/8113912.html,https://www.mosqueedelacapitale.com/nous-joindre/
Reste du Québec,Mosquée Al-Athar,mosque,1098 4e Avenue,Québec (Limoilou),G1J 3B2,,salafisdequebec@hotmail.com,,https://www.facebook.com/mosqueealathar/,medium,https://mawaqit.net/en/m/masjid-al-athar-quebec-g1j-3b3-canada,https://prayersconnect.com/mosques/12453931-mosquee-al-athar-quebec-quebec-canada/contact-us
Reste du Québec,Mosquée de Québec à Limoilou,mosque,1287 1re Avenue,Québec (Limoilou),G1L 3K7,418-473-4447,,,http://www.mosqueedequebec.com/,high,https://fr.wikipedia.org/wiki/Mosqu%C3%A9e_de_Qu%C3%A9bec_%C3%A0_Limoilou,
Reste du Québec,"AÉMUL prayer room - Université Laval (Pavillon Alphonse-Marie-Parent, local 0719; Jumu'ah at Pavillon Ernest-Lemieux, salle 1575)",university,2255 rue de l'Université,Québec (Sainte-Foy),G1V 0A7,,aemul@asso.ulaval.ca,,https://aemul.asso.ulaval.ca/,high,https://therevertproject.org/masjidquebeccity,https://www.dse.ulaval.ca/association/association-des-etudiantes-musulmanes-de-l-universite-laval/
Reste du Québec,Centre Culturel Islamique de Québec (CCIQ) - Grande Mosquée de Québec,islamic_centre,2877 chemin Sainte-Foy,Québec (Sainte-Foy),G1V 1W3,418-683-1329,,,https://cciq.org/,high,https://www.mosquee-proche.com/mosquee/cciq/2022/,
Reste du Québec,Mosquée de Rimouski - Centre Islamique de Rimouski,mosque,111 rue Saint-Jean-Baptiste Est,Rimouski,G5L 1Y5,,,,https://mawaqit.net/en/mosquee-de-rimouski-rimouski,high,https://www.mosquee-proche.com/fr/mosquee/mosquee-de-rimouski-rimouski/2018/,
Reste du Québec,Association Socio-Culturelle Islamique Louperivoise (ASCIL),islamic_centre,174 rue Lafontaine,Rivière-du-Loup,G5R 3A7,,,,https://association-socio-culturelle-islamique.business.site/,high,https://www.mosquee-proche.com/fr/mosquee/ascil-rdl-riviere-du-loup-g5r3a7-canada/4251/,
Reste du Québec,"Mosquée de Rouyn-Noranda - Association Culturelle Musulmane de Rouyn-Noranda (ACMRN, Al-Madinah)",mosque,20 rue Mgr-Tessier Ouest,Rouyn-Noranda,J9X 2S4,,,,http://acmrn.org/,high,https://prayersconnect.com/mosques/12443730-mosquee-de-rouyn-noranda-rouyn-noranda-quebec-canada,
Reste du Québec,Mosquée de Chicoutimi - Association Islamique du Saguenay-Lac-Saint-Jean,mosque,555 rue Bégin,Saguenay (Chicoutimi),,,mosqueechicoutimi2021@gmail.com,,https://mawaqit.net/en/mosquee-chicoutimi,high,https://mawaqit.net/en/mosquee-chicoutimi,https://www.facebook.com/p/Association-Islamique-du-Saguenay-Lac-Saint-Jean-100080373907152/
Reste du Québec,Centre Culturel Islamique de la Beauce,islamic_centre,10949 2e Avenue,Saint-Georges,G5Y 1V9,,,,https://ccidelabeauce.ca/,high,https://mawaqit.net/en/cci-de-la-beauce-saint-georges-g5y-1v9-canada,
Reste du Québec,Centre Culturel Musulman de la Côte-Nord (Mosquée de Sept-Îles),islamic_centre,,Sept-Îles,,,,,https://ccmcotenord.wixsite.com/ccmcn,low,https://iqna.ir/fr/news/3496693/la-mosquee-de-sept-iles-ouvre-ses-portes-et-fait-decouvrir-le-patrimoine-musulman,
Reste du Québec,Centre Culturel Musulman de Shawinigan (CCMS),islamic_centre,2483 avenue Saint-Marc,Shawinigan,,,,,http://ccmshawinigan.ca/,high,https://ici.radio-canada.ca/nouvelle/712529/mosquee-shawinigan-rue-saint-marc,
Reste du Québec,Mosquée Annour - Centre Culturel Islamique de Sherbrooke (CCIS),mosque,"3232 rue Richard, local 4",Sherbrooke,J1L 1Y2,819-481-1548,contact@ccis-annour.ca,imam@ccis-annour.ca,https://www.ccis-annour.ca/,high,https://canada247.info/explore/quebec/la_region_sherbrookoise/sherbrooke/jacques_cartier/mosque_annour.html,https://www.ccis-annour.ca/contactez-nous
Reste du Québec,Mosquée A'Rahmane - Association culturelle islamique de l'Estrie (ACIE),mosque,1200 rue Massé,Sherbrooke,J1H 5X2,,contact@acie.ca,,https://www.acie.ca/,high,https://mawaqit.net/en/mosquee-rahman-ctr-culturel-sherbrooke-qc,https://www.acie.ca/en/contact
Reste du Québec,Centre Culturel Islamique de Thetford Mines,islamic_centre,,Thetford Mines,,,,,https://www.youtube.com/@CentreculturelIslamique,low,https://www.facebook.com/p/Centre-Culturel-Islamique-61573929870434/,
Reste du Québec,Centre Culturel Islamique de la Mauricie (CCIM),islamic_centre,5375 rue Saint-Joseph,Trois-Rivières,,819-378-0419,contact@ccim3r.ca,,https://ccim3r.ca/,high,https://ccim3r.ca/histoire.html,https://ccim3r.ca/
Reste du Québec,Mosquée de Val-d'Or - Association Culturelle Musulmane de Val-d'Or,mosque,1153 4e Avenue,Val-d'Or,J9P 1K1,,acmv.qc.ca@gmail.com,,https://acmvaldor.org/,high,https://www.zabihah.com/mosques/1380a94a-776a-11ef-95ae-6045bdeb9f57/association-culturelle-musulmane-de-val-dor-val-d-or-qc,https://acmvaldor.org/contact-2/
Reste du Québec,Association Culturelle Islamique des Bois-Francs (ACIB),mosque,1521 rue Notre-Dame Ouest,Victoriaville,G6P 7L9,,,,https://acibf.org/,high,https://prayersconnect.com/fr/mosques/12426349-islamic-cultural-association-of-bois-francs-victoriaville-quebec-canada,
Reste du Québec,Centre Culturel Islamique de Victoriaville,islamic_centre,359-B rue Girouard,Victoriaville,,,,,https://www.facebook.com/CentreCIV/,medium,https://www.facebook.com/CentreCIV/,
