region,name,address,city,phone,facebook,website
Montréal,Masjid Fatima Azzahra (Fondation Internationale Azzahra),3642 rue Fleury Est,Montréal (Montréal-Nord),514-727-6666,,http://azzahra.ca
Montréal,Madina Musallah,764 Rue de Liège Ouest,Montréal (Parc-Extension),,,
Montréal,Masjid Uthman bin Affan,"950 avenue Ogilvy, local 8",Montréal (Parc-Extension),,,
Montréal,Musallah Zainul Abideen,8062 Avenue Wiseman,Montréal (Parc-Extension),,,
Montréal,Mosquée et Centre communautaire CCSCA,13201 rue Sherbrooke Est,Montréal (Pointe-aux-Trembles),,,
Montréal,Tawheed Mosque (boulevard Lacordaire),6955 Bd Lacordaire,Montréal (Saint-Léonard/Rosemont),+1 514-807-4207,,
Montréal,Mosquée Dar Al-Arqam (Association Musulmane Dar Al-Arkam de Montréal / Association Musulmane de Montréal Est),3661 Rue Jean-Talon Est,Montréal (Saint-Michel / Villeray-Saint-Michel-Parc-Extension),514-374-9572,,
Montréal,Concordia University MSA musalla,,Montréal (Ville-Marie),,,
Montréal,Mosquée ALIRFAN,10963 Rue Massé,Montréal-Nord,+1 514-623-1762,,
Montérégie,Abshar (Afghan/Persian prayer space),,Brossard,,,
Montérégie,Brossard Ismaili Jamat Khana,Boulevard Matte,Brossard,,,
Montérégie,Ebrahim Musallah,1505A boul. Provencher,Brossard,,,
Montérégie,Jamia Islamia Longueuil,2144 rue Sainte-Hélène,Longueuil,450-674-9018,,http://mosqueprayertimes.com/jamiaislamialongueuil
Montérégie,Centre Culturel Islamique de Valleyfield,73 rue Sainte-Cécile,Salaberry-de-Valleyfield,450-370-9040,,
Montérégie,Jamatkhana Karen Ginan Du Montreal Ouest,160 Rue des Loisirs,Vaudreuil-Dorion,,,
Outaouais,Portage Mussalah (Gatineau),,Gatineau (Hull),,,
