name,city,county,region,address,website,phone,flags,notes
"Islamic Community of Bosniaks in NC (ICBNC / IZBNC)",Charlotte,Mecklenburg,Charlotte Metro,"6200 Wilora Lake Rd, Charlotte, NC 28212",https://izbnc.org/,(704) 531-9091,,"Bosniak community masjid. 'Shahid Masjid' is listed separately in directories at this same address - treated here as the same facility."
"Ahmadiyya Muslim Community Charlotte",Charlotte,Mecklenburg,Charlotte Metro,"5314 Mt Holly-Huntersville Rd, Charlotte, NC 28216",https://www.ahmadiyya.us/members/fchapter/77-charlotte-nc,,AHMADIYYA,"Theologically distinct from Sunni/Shia. Chapter emails exist but are JavaScript-obfuscated against scraping."
"Charlotte Islamic Academy",Charlotte,Mecklenburg,Charlotte Metro,"5500 N Tryon St, Charlotte, NC 28213",https://www.ciacademy.us/,(704) 900-0255,SCHOOL,"Full-time school affiliated with ICC; has prayer facilities."
"Muslim Students Association at UNC Charlotte",Charlotte,Mecklenburg,Charlotte Metro,"9201 University City Blvd, Charlotte, NC 28223",https://ninerengage.charlotte.edu/organization/muslim-students-association,,CAMPUS,"Weekly Jumu'ah on campus. Contact via Instagram @cltmsa."
"Brittany Masjid",Charlotte,Mecklenburg,Charlotte Metro,,,,UNVERIFIED,"Existence only - named in one directory. No address, phone or website found. Needs on-the-ground verification."
"Masjid As Sahabah",Charlotte,Mecklenburg,Charlotte Metro,,,,UNVERIFIED,"Appears in Charlotte-area directory listings; city assignment inferred, not confirmed."
"Masjid Al-Salaam",Charlotte (unconfirmed),,Charlotte Metro,,,,UNVERIFIED,"Surfaced in a Charlotte-metro list; could be a different NC city. Needs confirmation."
"Islamic Community Center of South Charlotte (ICCSC)","Fort Mill, SC","York County, SC",Charlotte Metro,"1048 Gant Rd, Fort Mill, SC 29707",https://iccsc.org/,(704) 900-1964,OUT-OF-STATE,"Physically in South Carolina but is the primary masjid for South Charlotte/Ballantyne/Pineville/Mint Hill. Included deliberately; exclude if roster is strictly NC-boundary."
"Islamic Society of Gastonia / Masjid Al-Islam (ISGMC)",Gastonia,Gaston,Charlotte Metro,"4020 Titman Rd, Gastonia, NC 28056",https://isgmc.com/,(704) 824-7994,,"Also operates a Muslim cemetery. EIN 31-1128769. Some directories list gastoniamasjid.org."
"ILM Center",Concord,Cabarrus,Charlotte Metro,,https://ilmcenter.org/,,NEW,"Opened 5 December 2025. Serves Concord, Kannapolis, Davidson, Huntersville, North Charlotte. Street address not yet established."
"Iqra Islamic Society of Greater Concord (IISGC)",Concord (STATE UNCONFIRMED),,Charlotte Metro,,https://iisgc.org/,,STATE-AMBIGUOUS,"WARNING: IRS record for EIN 46-4037960 gives Concord, NEW HAMPSHIRE. Do not add to an NC list without confirming the state."
"Masjid Al-Muminun (Statesville)",Statesville,Iredell,Charlotte Metro,"1720 Wilson W Lee Blvd, Statesville, NC 28677",https://www.statesvillemasjid.org/,(704) 878-6043,,"All five daily prayers. Jumu'ah khutbah 1:30pm. Access-code inquiries via Instagram @muminunmasjidstatesville."
"Islamic Center of Lake Norman (ICLN)",Mooresville,Iredell,Charlotte Metro,"120 S Park Dr, Mooresville, NC 28117",http://www.iclnmooresville.org/,(843) 373-4084,ADDRESS-CONFLICT,"Only Islamic center within ~30 miles. Rented facility; fundraising for permanent masjid. 179 Singleton Rd also listed in some directories."
"Islamic Center of Salisbury",Salisbury,Rowan,Charlotte Metro,"425 Lincolnton Rd, Salisbury, NC 28144",,(980) 234-6080,,"Established 1 June 2013. No standalone website; primary presence is Facebook /masjidofsalisbury. Alt phone 336-744-4258."
"Islamic Center of Shelby",Shelby,Cleveland,Charlotte Metro,,https://islamiccenterofshelby.com/,,,"Self-described musallah working toward a full masjid. No address or phone found. NOTE: shelbymasjid.org is Shelby Township, MICHIGAN - different org."
"Islamic Association of Raleigh (IAR)",Raleigh,Wake,Triangle,"808 Atwater St, Raleigh, NC 27607",https://raleighmasjid.org/,919-834-9572,,"Largest masjid in the Triangle. Est. 1981, building 1985. Multi-location. Hosts the Triangle Imams Council."
"Al-Iman School",Raleigh,Wake,Triangle,"3020 Ligon St, Raleigh, NC 27607",https://www.alimanschool.org/,919-821-1699,SCHOOL,"Full-time PreK-8 Islamic school with prayer facilities, on the shared IAR campus."
"Masjid King Khalid",Raleigh,Wake,Triangle,"130 Martin Luther King Jr. Blvd, Raleigh, NC 27601",https://masjidkingkhalid.org/,,,"Established 1983. Has its own Wikipedia article."
"As-Salaam Islamic Center of Raleigh",Raleigh,Wake,Triangle,"1214 E Lenoir St, Raleigh, NC 27601",https://assalaamic.org/,919-231-1547,ADDRESS-CONFLICT,"110 Lord Anson Dr also listed. Mailing PO Box 37352, Raleigh 27627. Alt phone 919-589-3510."
"Masjid An-Noor al-Muhammadi",Raleigh,Wake,Triangle,"3620 Tryon Rd, Raleigh, NC 27606",,(708) 212-9101,,"No website found."
"Madinah Quran and Youth Center (MQYC)",Raleigh,Wake,Triangle,,https://www.mqyc.org/,919-299-9466,IN-DEVELOPMENT,"Raising funds for a permanent Triangle facility."
"Raleigh Islamic Institute (RII)",Raleigh,Wake,Triangle,,https://riinc.org/,,,"NC-registered nonprofit for Islamic education and community programs."
"Muslim Youth and Community Center / North Raleigh Masjid (MYCC-RDU)",Raleigh,Wake,Triangle,"5017 Deah Way, Raleigh, NC 27616",https://mycc-rdu.org/,,,"Prayer hall, Sunday school, Quran classes, food pantry. Operated with MAS."
"Islamic Association of Cary (IAC) / Cary Masjid",Cary,Wake,Triangle,"1155 W Chatham St, Cary, NC 27511",https://www.carymasjid.org/,919-244-7168,,
"Apex Mosque",Apex,Wake,Triangle,"733 Center St, Apex, NC 27502",https://apexmosque.org/,919-362-0403,,"Runs Hifz and summer programs. Maintains its own RTP-region mosque directory."
"Islamic Center of Morrisville (ICM)",Morrisville,Wake,Triangle,"107 Quail Fields Court, Morrisville, NC 27560",https://www.icmnc.org/,919-805-2082,,"Operates Al-Mizaan School."
"Jamaat Ibad Ar-Rahman - Morrisville campus",Morrisville,Wake,Triangle,"9591 Chapel Hill Rd, Morrisville, NC",https://ibadarrahman.org/,,,"Third JIAR site; same parent organization as the two Durham masjids."
"Alnoor Islamic Center",Fuquay-Varina,Wake,Triangle,"6317 Sunset Lake Rd, Fuquay Varina, NC 27526",https://alnooric.org/,919-705-0131,,"Serves Holly Springs and Fuquay-Varina. MAS-affiliated."
"Muslim American Society - Raleigh/Durham (MAS-RDU)",Raleigh,Wake,Triangle,,https://masraleigh.org/,919-621-6252,UMBRELLA,"Umbrella body operating/supporting Al-Noor IC, Islamic Center of Clayton, Islamic Center of Youngsville, Al Awda to Allah, MYCC. Not itself a masjid."
"North American Islamic Foundation",Wake Forest,Wake,Triangle,"9720 Capital Boulevard, Wake Forest, NC 27587",,,,"Only masjid found in Wake Forest."
"Muslim Student Association at NC State University",Raleigh,Wake,Triangle,"NC State University, Raleigh, NC",https://getinvolved.ncsu.edu/organization/msa,,CAMPUS,"Campus prayer space. Contact form only."
"Ar-Razzaq Islamic Center (Masjid Ar-Razzaq)",Durham,Durham,Triangle,"1009 W Chapel Hill St, Durham, NC 27701",https://arrazzaqislamiccenter.org/,919-493-1230,HISTORIC,"OLDEST MASJID IN NORTH CAROLINA - founded 1956 as Muhammad's Mosque #34, renamed 1970s, current building 1972. NC historical marker G-148. Seeded masjids in Raleigh, Fayetteville, Greenville and Kinston."
"Jamaat Ibad Ar-Rahman - Fayetteville St. Masjid",Durham,Durham,Triangle,"3034 Fayetteville St, Durham, NC 27707",https://ibadarrahman.org/,984-377-4450,NAME-TRAP,"JIAR's main facility. NOTE: 'Fayetteville Street' is in DURHAM - a common false match for Fayetteville, NC."
"Jamaat Ibad Ar-Rahman - Parkwood Masjid",Durham,Durham,Triangle,"5122 Revere Rd, Durham, NC 27713",https://ibadarrahman.org/,919-237-2968,,"Second campus of JIAR."
"Northern Durham Islamic Association (NDIA)",Durham,Durham,Triangle,"2609 W. Carver St., Durham, NC 27705",https://ndmnc.org/,919-908-8804,,"Operates Al-Ikhlas Academy, monthly community dinners, marriage services."
"Center for Muslim Life, Duke University",Durham,Durham,Triangle,"Few GG, 420 Chapel Drive, Durham, NC 27708",https://www.dukemsa.com/cml,919-613-6778,CAMPUS,"University Muslim prayer and community space."
"Chapel Hill Islamic Center / Chapel Hill Islamic Society",Chapel Hill,Orange,Triangle,"103 Stateside Dr, Chapel Hill, NC 27514",http://chapelhillmasjid.org/,919-960-1986,POSSIBLE-DUPLICATE,"Converted house, est. 2002. 'Center' and 'Society' appear to be the same body under two names; a chapelhillmosque.wordpress.com site may be a stale older presence."
"UNC Chapel Hill Muslim Students Association",Chapel Hill,Orange,Triangle,"Student Union Room 2510 (Jumu'ah in 2518), UNC-Chapel Hill, NC 27599",http://www.uncmsa.org/,,CAMPUS,"Campus prayer room and Jumu'ah."
"Ibrahim Muslim Community Center",Siler City,Chatham,Triangle,,,,,"Sunni. Only masjid found in Chatham County. Street address not obtained."
"Islamic Center of Smithfield",Smithfield,Johnston,Triangle,"3020 S Brightleaf Blvd, Smithfield, NC 27577",https://smithfieldmasjid.org/,919-351-9705,,"Est. Ramadan 2014; grew from 10-20 members to 400-500 by 2022. Serves Johnston County and I-95 travelers."
"Islamic Center of Clayton (ICC)",Clayton,Johnston,Triangle,,https://masraleigh.org/icc/,,IN-DEVELOPMENT,"MAS-Raleigh project: planned school, masjid, youth and community center. May not yet be an operating masjid - verify status."
"Alsalam Mosque",Micro,Johnston,Triangle,"108 Fayetteville St, Micro, NC 27555",https://alsalammosque.net/,,,"Serves Archer Lodge, Benson, Clayton, Four Oaks, Kenly, Micro, Pine Level, Garner, Wendell, Wilson Mills, Smithfield, Princeton."
"Masjid Nor-ul-Mustafa",Selma,Johnston,Triangle,"1011 River Rd, Selma, NC 27576",,(520) 238-1610,,"Frequently mis-filed under Raleigh/Wake in directories; physically in Selma."
"Islamic Center of Youngsville (ICY)",Youngsville,Franklin,Triangle,"426 S Cross St, Youngsville, NC 27596",https://masraleigh.org/icy/,,NEW,"Launched December 2025 serving Youngsville, Wake Forest, Rolesville, Franklinton. MAS-supported."
"Islamic Center of Sanford (ICOS)",Sanford,Lee,Triangle,"403 West Makepeace Street, Sanford, NC 27330",https://islamiccenterofsanford.org/,919-292-1119,,
"Al Awda to Allah Masjid",Sanford,Lee,Triangle,,https://masraleigh.org/ata/,,,"MAS-Raleigh affiliated, distinct from ICOS. Street address not obtained."
"Islamic Center of Harnett County",Dunn,Harnett,Triangle,"West Broad Street, Dunn, NC 28334",https://www.islamiccenterdunn.org/,,,"Sunni. Also runs the NCECF Food Pantry. Access codes for non-Jumu'ah prayers given by call/text."
"Al-Rahma Mosque (Masjid Al-Rahma)",Henderson,Vance,Triangle,"102 Horner St, Henderson, NC 27536",https://alrahma.cc/,,,"Sunni."
"Muadh Ibn Jabal Henderson Masjid",Henderson,Vance,Triangle,"2142 Satterwhite Point Rd, Henderson, NC",https://masjidhenderson.com/,,NAME-TRAP,"NOTE: Henderson is in VANCE COUNTY, eastern NC - not Hendersonville/Henderson County in the west. Common false match."
"Islamic Center of Greensboro (ICG)",Greensboro,Guilford,Triad,"2023 Sixteenth St, Greensboro, NC 27405",https://icgmasjid.org/,(336) 375-4908,,"Largest Greensboro congregation, nondenominational. Its /nearby-islamic-centers/ page is a high-quality Triad directory. Alt domain icgnc.com."
"Islamic Center of the Triad (ICT) / Masjid Al-Quds",Greensboro,Guilford,Triad,"1203 Frances Daily Ct, Greensboro, NC 27409",http://www.islamiccenterofthetriad.com/,(336) 856-2870,POSSIBLE-DUPLICATE,"Est. 1982. Runs a Refugees & Immigration Committee. Sources disagree whether this and Masjid Al-Quds (4930 Mary St) are one org with two sites or two masjids. Alt phone 336-856-8112."
"Sierra Leone Islamic Center of Greensboro - Masjid An Noor",Greensboro,Guilford,Triad,"1607 Northland Dr, Greensboro, NC 27405",https://www.masjidnoornc.org/,,REFUGEE-COMMUNITY,"West African / Sierra Leonean congregation. Founded Nov 2017, incorporated 2018. EIN 82-3516093."
"Al-Ummil Ummat Islamic Center",Greensboro,Guilford,Triad,"2109 Martin Luther King Jr Dr, Greensboro, NC 27406",http://www.alummil-ummat.org,(336) 574-3689,AFRICAN-AMERICAN,"Established 1987. ZIP appears as both 27406 and 27405 across sources."
"Masjid Ahlus-Sunnah (Greensboro)",Greensboro,Guilford,Triad,"2911 E Market St, Greensboro, NC 27405",https://www.prosunnah.org/,(336) 510-2807,AFRICAN-AMERICAN,"Salafi-oriented. Fax (336) 510-2875."
"W.D. Mohammed Islamic Center",Greensboro,Guilford,Triad,"3015 E Bessemer Ave, Greensboro, NC 27405",https://wdmic.org/,(336) 285-5992,AFRICAN-AMERICAN,"Imam W. Deen Mohammed tradition; established 2018. Alt domain wdmicgso.org."
"Masjid Da'watul-Haqq",Greensboro,Guilford,Triad,"4615-A Hilltop Rd, Greensboro, NC 27407",http://www.dawatulhaqq.com/,,ADDRESS-CONFLICT,"Waze lists 1325-B S Eugene St - likely a former location. X/Twitter @DawatulHaqq."
"Islamic Center of High Point (ICOHP)",High Point,Guilford,Triad,"200 W Market Center Dr, High Point, NC 27260",http://icohp.org/,(336) 885-0786,,"In High Point since 1996. Daily evening children's Qur'an classes and Sunday school."
"Community Mosque of High Point",High Point,Guilford,Triad,"222 Spring Hill Church Rd, High Point, NC 27262",https://www.facebook.com/CMHP222/,(336) 886-8341,AFRICAN-AMERICAN,"EIN 56-1706376. No standalone website; Facebook is primary presence. One aggregator hints at a Lexington/Davidson County satellite - unconfirmed."
"Triad Muslim Center / TMCC Islamic Center (Masjid Al-Noor)",High Point,Guilford,Triad,"2410 Sandy Ridge Rd, High Point, NC 27265",https://www.triadmuslims.org/,(336) 950-8475,,"Appears in directories under three different names."
"Masjid Al-Muminun (Winston-Salem)",Winston-Salem,Forsyth,Triad,"1510 Harriet Tubman St, Winston-Salem, NC 27105",https://www.masjidalmuminun336.org/,(336) 955-2828,AFRICAN-AMERICAN,"OLDEST ISLAMIC ORGANIZATION IN THE TRIAD - community roots to 1955. Imam W.D. Mohammed tradition. Also listed as 1500 Harriet Tubman Dr."
"Community Mosque of Winston-Salem",Winston-Salem,Forsyth,Triad,"1419 Waughtown St, Winston-Salem, NC 27107",https://communitymosque.com/,(336) 650-1095,AFRICAN-AMERICAN,"Established 1984."
"Annoor Islamic Center / Clemmons Islamic Center (CIC)",Clemmons,Forsyth,Triad,"1435 Lake Cottage Rd, Clemmons, NC 27012",https://clemmonsislamiccenter.org/,(336) 766-0824,,"One organization under two names. Older directories place Annoor on Reynolda Road, Winston-Salem - a former location."
"Burlington Masjid",Burlington,Alamance,Triad,"1908 S Mebane St, Burlington, NC 27215",https://www.burlingtonmasjid.com/,,REFUGEE-COMMUNITY,"The only mosque in Alamance County. ~300 families from ~45 nationalities. Acquired former church building 2015. Do not confuse with icburlington.org (Ontario/Massachusetts)."
"Islamic Center of Asheboro",Asheboro,Randolph,Triad,"203 Brittain St, Asheboro, NC 27203",http://www.meislam.org,(336) 521-0690,NETWORK-SITE,"Affiliated with the 'Masjid America' network (masjid.us / meislam.org). Shares (877) ME-ISLAM with the Reidsville site."
"Islamic Center of Reidsville / Islamic Center of Piedmont",Reidsville,Rockingham,Triad,"2335 NC-87, Reidsville, NC 27320",,(336) 349-8752,NETWORK-SITE,"Listed under two names at one address. Shares (877) ME-ISLAM with Asheboro. Facebook page created 2025."
"Islamic Society of the Carolinas in Rockingham",Rockingham / Hamlet,Richmond,Triad,"819 Circlewood Dr, Hamlet, NC 28345",https://islamicsocietyofthecarolinas.webador.com/,(910) 331-7316,REGIONAL-COVERAGE,"EIN 56-1963072. Serves Hamlet, Rockingham, Bennettsville, Cheraw, Laurinburg, Pinehurst and Southern Pines - i.e. covers Richmond, Scotland and Moore counties, none of which have their own masjid. Alt phone (910) 995-0527."
"Masjid Bilal",Winston-Salem area (unconfirmed),,Triad,,,,UNVERIFIED,"Named in the Wake Forest Muslim Life mosque list without an address. Confirm city and whether still active."
"Islamic Center of Fayetteville (ICF)",Fayetteville,Cumberland,Southeastern,"2415 Rosehill Road, Fayetteville, NC 28301",https://fayettevillemasjidnc.com/,(910) 920-9990,,"Established 2008; bought the Rosehill Rd building (a former Kingdom Hall) in 2018. A second site icf.saadfahim.com may be stale."
"Masjid Omar Ibn Sayyid",Fayetteville,Cumberland,Southeastern,"2700 Murchison Road, Fayetteville, NC 28301",https://www.masjidomaribnsayyid.org/,(910) 488-7322,AFRICAN-AMERICAN,"Imam W. Deen Mohammed community. Named for the enslaved West African Muslim scholar Omar ibn Said; NC historical marker placed 2010. EIN 56-1639611."
"Masjid Rassulullah",Fayetteville,Cumberland,Southeastern,"5300 Silver Pine Drive, Fayetteville, NC 28303",https://masjidr.wordpress.com/,(910) 977-6854,,"Led by Imam Habib Ngom. Free WordPress site may be stale; also self-describes as 'the Islamic Center of Fayetteville', overlapping with ICF."
"Masjid Ahlu-Sunnah (Fayetteville)",Fayetteville,Cumberland,Southeastern,"420 Preston Avenue, Fayetteville, NC 28301",,(910) 938-4598,POSSIBLY-CLOSED,"Yellow Pages listing marked CLOSED, but still listed as active on several directories. Needs phone verification. Conflicting alt phone (910) 488-3604."
"Fort Bragg / Fort Liberty Islamic Services",Fort Bragg (Fort Liberty),Cumberland,Southeastern,"Chapel Annex II (Old Womack area), Fort Liberty, NC 28310",https://home.army.mil/bragg/about/garrison/religious-services,,MILITARY,"Jumu'ah Fri 1:00pm, Islamic study Sun 10:00am, Mon-Thu noon prayer. Contact via Garrison Chaplain. Access restricted - not a public community masjid."
"Islamic Center of Wilmington (Masjid Al-Hikmah)",Wilmington,New Hanover,Southeastern,"6336 Myrtle Grove Road, Wilmington, NC 28409",https://www.icwh.org/,(910) 793-9333,,"Largest Islamic center in Wilmington; operates Al-Hikma School. Site appears to use a contact form only."
"Wilmington Islamic Learning Center",Wilmington,New Hanover,Southeastern,"2117 Wrightsville Avenue, Wilmington, NC 28403",,(910) 343-1919,,"Five daily prayers plus Jumu'ah. EIN 26-3561725 - Form 990 may list an officer contact."
"Muslim Center of Wilmington Inc. (Masjid Al-Kauthar)",Wilmington,New Hanover,Southeastern,,https://www.facebook.com/MasjidAlKautharMCOW/,,AFRICAN-AMERICAN,"Resident Imam Rudolph Ali. Facebook-only presence; street address not established."
"Tauheed Islamic Center",Wilmington,New Hanover,Southeastern,"Castle Street, Wilmington, NC",,(910) 343-8034,POSSIBLY-DEFUNCT,"Single stale directory source. May be the predecessor of, or identical to, Muslim Center of Wilmington. Needs phone confirmation."
"Masjid Al-Huda (Islamic Center of Jacksonville)",Jacksonville,Onslow,Southeastern,"1206 Hargett Street, Jacksonville, NC 28540",,(910) 381-1809,,"Serves Jacksonville / Camp Lejeune / MCAS New River. Sunni. A separate listing at 109 Westminister Drive may be a former location or second musalla."
"Islamic Center of Goldsboro",Goldsboro,Wayne,Southeastern,"506 Fedelon Trail, Goldsboro, NC 27530",https://www.goldsboromasjid.org/,(919) 429-8001,,"Largest mosque in Goldsboro, established 2012. Serves the Seymour Johnson AFB area."
"Masjid As-Saliheen / Masjid Al Amal (Wayne County Islamic Society)",Goldsboro,Wayne,Southeastern,"522 S. Slocumb Street, Goldsboro, NC 27530",https://masjidsaliheen.wixsite.com/wcis,,AFRICAN-AMERICAN,"Distinct from the Fedelon Trail center. Mailing PO Box 11141, Goldsboro 27530."
"Islamic Center of New Bern (ICNB)",New Bern,Craven,Southeastern,,https://www.instagram.com/islamiccenterofnewbern/,,,"Serves New Bern / Havelock / MCAS Cherry Point. Active Instagram and Facebook. Street address not resolved - priority gap."
"Islamic Culture Center Masjid",Kinston,Lenoir,Southeastern,"301 E. North Street, Kinston, NC 28501",,(252) 222-0009,AFRICAN-AMERICAN,"One of the communities seeded by Ar-Razzaq (Durham). Also listed as 300 North St."
"Islamic Center of Lumberton",Lumberton,Robeson,Southeastern,"104 S. Chestnut Street, Lumberton, NC 28358",http://www.islamiccenteroflumberton.org/,(910) 733-5062,ADDRESS-CONFLICT,"Sunni; Jumu'ah 1:30pm. Behind the Lumberton Public Library. Some listings say 104 N Chestnut St."
"Islamic Center of Columbus County",Whiteville,Columbus,Southeastern,"410 South JK Powell Boulevard, Whiteville, NC 28472",https://www.facebook.com/IslamicCenterOfColumbusCounty/,,,"Sunni. EIN 30-0784292 - Form 990 may list an officer contact."
"Masjid Al-Madina (Muslim American Community of NC)",Raeford,Hoke,Southeastern,"196 Pittman Grove Church Road, Raeford, NC 28376",https://macnc.org/,(910) 460-6496,,"Sunni; runs a school and community programs. Target of alleged hate crimes in 2016."
"Islamic Association of Eastern NC (IAENC) / Islamic Center of Greenville",Greenville,Pitt,Eastern,"1303 S Evans St, Greenville, NC 27834",https://greenvillencmasjid.org/,(252) 758-4411,NAME-TRAP,"Largest masjid in the region, established 1985. Separate men's/women's halls, library, Sunday school. NOTE: 'Islamic Society of Greenville' at greenvillemasjid.com is Greenville, SOUTH CAROLINA - a common false match."
"ECU Muslim Student Association",Greenville,Pitt,Eastern,"East Carolina University, Greenville, NC",https://ecumsa.wordpress.com/,,CAMPUS,"Active socials: Instagram @ecu.msa, Facebook /ecumsa. Campus prayer-space location unconfirmed."
"Masjid Al-Huda (Islamic Center of Rocky Mount)",Rocky Mount,Nash,Eastern,"1511-1513 Memory Ln, Rocky Mount, NC 27801",,(252) 985-1195,,"Sunni. Imam Khalid. No website found. Some listings show ZIP 27804."
"Islamic Center of Wilson",Wilson,Wilson,Eastern,"2630 Tilghman Rd N, Wilson, NC 27896",https://islamiccenterwilson.wixsite.com/website,(252) 281-5584,,"501(c)(3), EIN 81-4729156, IRS ruling 2017."
"Islamic Community Development Center of Wilson (ICDC)",Wilson,Wilson,Eastern,"302 Barnes St S, Wilson, NC 27893",https://www.wilsonicdc.com/,(252) 293-4752,,"Sunni. Second, distinct masjid in Wilson."
"Islamic Center of Roanoke Rapids (Masjid Al-Noor)",Roanoke Rapids,Halifax,Eastern,"406 W 3rd St, Roanoke Rapids, NC 27870",https://icrrnc.org/,(252) 529-3495,,"Sunni. Imam Abu Ismail Ibrahim Al-Kooree. Jumu'ah 1:30pm; regular aqeedah/manhaj/fiqh classes."
"Masjid ar-Rahmah",Elizabeth City,Pasquotank,Eastern,"300 block of E. Ehringhaus St, Elizabeth City, NC 27909",https://www.facebook.com/p/Masjid-ar-Rahmah-61553310003375/,,NEW,"Newer community (~2023-2024). Marine veteran imam. Registered nonprofit, EIN 93-4433840."
"Islamic Center of Asheville",Asheville,Buncombe,Western,"941 Old Fairview Rd, Asheville, NC 28803",https://ashevillemasjid.com/,828-277-5505,,"The only formally organized mosque in NC west of Morganton. ~100+ at Jumu'ah (Fri 1:30pm). Weekend Islamic school, Arabic classes."
"Islamic Center of Morganton",Morganton,Burke,Western,"203 Bethel St, Morganton, NC 28655",https://www.morgantonmosque.org/,(828) 439-9487,REFUGEE-COMMUNITY,"Serves Morganton's Hmong and African (Sudanese/Somali) refugee populations. CAUTION: apex domain returned DNS failure - site may be www-only. Some directories give a Hickory address (see separate row)."
"Islamic Center of Boone (Boone Masjid)",Boone,Watauga,Western,"643 Greenway Rd #G, Boone, NC 28607",https://www.boonemasjid.com/,,NEW,"Opened 1 July 2022 - the first mosque in the High Country. 501(c)(3), EIN 88-3047056. President Khurram Tariq. Jumu'ah khutbah 1:30pm, iqama 2:00pm."
"Muslim Student Association at Appalachian State University",Boone,Watauga,Western,"Plemmons Student Union, Rich Mountain Room, 263 Locust St, Boone, NC 28608",https://www.facebook.com/appmsa,,CAMPUS,"Students used the Student Union meditation/prayer space before the Islamic Center of Boone opened."
"Muslim Student Association at UNC Asheville",Asheville,Buncombe,Western,"UNC Asheville, 1 University Heights, Asheville, NC 28804",,,"CAMPUS,UNVERIFIED","Chapter founded fall 2010; hosted UNCA's first official campus Iftar in 2011. CURRENT STATUS UNCONFIRMED - may be dormant."
"Islamic Community Center (Hickory)",Hickory,Catawba,Western,"1960 US Hwy 70 SE, Hickory, NC 28602",,,UNVERIFIED,"LEAD ONLY - surfaced in a directory summary that conflated it with the Islamic Center of Morganton. Not confirmed as a distinct masjid. Hickory has significant Hmong and African refugee populations; this is the highest-priority unresolved lead in the west."
